CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, SystemType
TD073, FY226, SCREEN, FUNCTION/FOYER, G01, 2200, ER401, TD073, 1, TECHNICAL_DATA
TD074, FY401, TECH PANEL/FLOOR BOX, FOYER, 113, 0, ER401, TD074, 2, TECHNICAL_DATA
TD075, FY401, TECH PANEL/FLOOR BOX, FOYER, 113, 0, ER401, TD075, 2, TECHNICAL_DATA
TD076, FY421, SCREEN, FOYER, 113, 2200, ER401, TD076, 1, TECHNICAL_DATA
TD077, FY422, SCREEN, FOYER, 113, 2200, ER401, TD077, 1, TECHNICAL_DATA
TD078, FY621, SCREEN, FOYER, 207, 2200, ER401, TD078, 1, TECHNICAL_DATA
TD079, FY622, SCREEN, FOYER, 207, 2200, ER401, TD079, 1, TECHNICAL_DATA
TD080, LX451, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD080, 2, TECHNICAL_DATA
TD081, LX451, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD081, 2, TECHNICAL_DATA
TD082, LX452, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD082, 2, TECHNICAL_DATA
TD083, LX452, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD083, 2, TECHNICAL_DATA
TD084, LX453, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD084, 2, TECHNICAL_DATA
TD085, LX453, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD085, 2, TECHNICAL_DATA
TD086, LX454, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD086, 2, TECHNICAL_DATA
TD087, LX454, LX BALCONY BAR, AUDITORIUM, G16, ON BAR, ER401, TD087, 2, TECHNICAL_DATA
TD088, LX651, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD088, 2, TECHNICAL_DATA
TD089, LX651, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD089, 2, TECHNICAL_DATA
TD090, LX652, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD090, 2, TECHNICAL_DATA
TD091, LX652, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD091, 2, TECHNICAL_DATA
TD092, LX653, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD092, 2, TECHNICAL_DATA
TD093, LX653, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD093, 2, TECHNICAL_DATA
TD094, LX654, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD094, 2, TECHNICAL_DATA
TD095, LX654, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD095, 2, TECHNICAL_DATA
TD096, LX655, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD096, 2, TECHNICAL_DATA
TD097, LX655, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD097, 2, TECHNICAL_DATA
TD098, LX656, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD098, 2, TECHNICAL_DATA
TD099, LX656, LX BALCONY BAR, LEVEL 2 BALCONY, , ON BAR, ER401, TD099, 2, TECHNICAL_DATA
TD100, LX801, LX BAR, STAGE, G15, CEILING, ER401, TD100, 3, TECHNICAL_DATA
TD101, LX801, LX BAR, STAGE, G15, CEILING, ER401, TD101, 3, TECHNICAL_DATA
TD102, LX801, LX BAR, STAGE, G15, CEILING, ER401, TD102, 3, TECHNICAL_DATA
TD103, LX802, LX BAR, STAGE, G15, CEILING, ER401, TD103, 3, TECHNICAL_DATA
TD104, LX802, LX BAR, STAGE, G15, CEILING, ER401, TD104, 3, TECHNICAL_DATA
TD105, LX802, LX BAR, STAGE, G15, CEILING, ER401, TD105, 3, TECHNICAL_DATA
TD106, LX803, LX BAR, STAGE, G15, CEILING, ER401, TD106, 3, TECHNICAL_DATA
TD107, LX803, LX BAR, STAGE, G15, CEILING, ER401, TD107, 3, TECHNICAL_DATA
TD108, LX803, LX BAR, STAGE, G15, CEILING, ER401, TD108, 3, TECHNICAL_DATA
TD109, LX804, LX BAR, STAGE, G15, CEILING, ER401, TD109, 3, TECHNICAL_DATA
TD110, LX804, LX BAR, STAGE, G15, CEILING, ER401, TD110, 3, TECHNICAL_DATA
TD111, LX804, LX BAR, STAGE, G15, CEILING, ER401, TD111, 3, TECHNICAL_DATA
TD112, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, TD112, 3, TECHNICAL_DATA
TD113, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, TD113, 3, TECHNICAL_DATA
TD114, LX851, LX BAR (ORCH), AUDITORIUM, G16, CEILING, ER401, TD114, 3, TECHNICAL_DATA
TD115, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD115, 3, TECHNICAL_DATA
TD116, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD116, 3, TECHNICAL_DATA
TD117, LX861, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD117, 3, TECHNICAL_DATA
TD118, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD118, 3, TECHNICAL_DATA
TD119, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD119, 3, TECHNICAL_DATA
TD120, LX862, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD120, 3, TECHNICAL_DATA
TD121, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD121, 3, TECHNICAL_DATA
TD122, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD122, 3, TECHNICAL_DATA
TD123, LX863, LX BAR, CABLE NET, , ON CABLENET PICKUPS, ER401, TD123, 3, TECHNICAL_DATA
TD124, SX451, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, TD124, 1, TECHNICAL_DATA
TD125, SX452, SPEAKER, LEVEL 1 BALCONY, , ON BAR, ER401, TD125, 1, TECHNICAL_DATA
TD126, SX851A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, TD126, 1, TECHNICAL_DATA
TD127, SX851B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, TD127, 1, TECHNICAL_DATA
TD128, SX852, SPEAKER, AUDITORIUM, G16, CEILING, ER401, TD128, 1, TECHNICAL_DATA
TD129, SX853, SPEAKER, AUDITORIUM, G16, CEILING, ER401, TD129, 1, TECHNICAL_DATA
TD130, SX854, SPEAKER, AUDITORIUM, G16, CEILING, ER401, TD130, 1, TECHNICAL_DATA
TD131, SX855A, SPEAKER (ARRAY), AUDITORIUM, G16, CEILING, ER401, TD131, 1, TECHNICAL_DATA
TD132, SX855B, SPEAKER (SUBS), AUDITORIUM, G16, CEILING, ER401, TD132, 1, TECHNICAL_DATA
TD133, TP001, TECH PANEL, SUB STAGE, B01, 300, ER401, TD133, 1, TECHNICAL_DATA
TD134, TP002, TECH PANEL, SUB STAGE, B01, 300, ER401, TD134, 1, TECHNICAL_DATA
TD135, TP003, TECH PANEL, SUB STAGE, B01, 300, ER401, TD135, 1, TECHNICAL_DATA
TD136, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, TD136, 2, TECHNICAL_DATA
TD137, TP201A, TECH PANEL (SM Panel), PERF LOCK, G23, 300, ER401, TD137, 2, TECHNICAL_DATA
TD138, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, TD138, 2, TECHNICAL_DATA
TD139, TP202, TECH PANEL (SM Panel), STAGE, G15, 300, ER401, TD139, 2, TECHNICAL_DATA
TD140, TP203, TECH PANEL, STAGE, G15, 300, ER401, TD140, 2, TECHNICAL_DATA
TD141, TP203, TECH PANEL, STAGE, G15, 300, ER401, TD141, 2, TECHNICAL_DATA
TD142, TP204, TECH PANEL, STAGE, G15, 300, ER401, TD142, 2, TECHNICAL_DATA
TD143, TP204, TECH PANEL, STAGE, G15, 300, ER401, TD143, 2, TECHNICAL_DATA
TD144, TP205, TECH PANEL (Power Lock), STAGE, G15, 300, ER401, TD144, 1, TECHNICAL_DATA
TD145, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, TD145, 2, TECHNICAL_DATA
TD146, TP251, TECH PANEL, FORESTAGE, B02, 300, ER401, TD146, 2, TECHNICAL_DATA
TD147, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, TD147, 2, TECHNICAL_DATA
TD148, TP252, TECH PANEL, FORESTAGE, B02, 300, ER401, TD148, 2, TECHNICAL_DATA
TD149, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, TD149, 2, TECHNICAL_DATA
TD150, TP601, TECH PANEL, TECH (GALLERY), 218, 300, ER401, TD150, 2, TECHNICAL_DATA
TD151, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, TD151, 2, TECHNICAL_DATA
TD152, TP602, TECH PANEL, TECH (GALLERY), 219, 300, ER401, TD152, 2, TECHNICAL_DATA
TD153, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, TD153, 2, TECHNICAL_DATA
TD154, TP603, TECH PANEL, TECH (GALLERY), 218, 300, ER401, TD154, 2, TECHNICAL_DATA
TD155, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER401, TD155, 2, TECHNICAL_DATA
TD156, TP604, TECH PANEL, TECH (GALLERY), 219, 300, ER401, TD156, 2, TECHNICAL_DATA
TD157, TP801, TECH PANEL, FLY GALLERY, , 300, ER401, TD157, 2, TECHNICAL_DATA
TD158, TP801, TECH PANEL, FLY GALLERY, , 300, ER401, TD158, 2, TECHNICAL_DATA
TD159, TP802, TECH PANEL, FLY GALLERY, , 300, ER401, TD159, 2, TECHNICAL_DATA
TD160, TP802, TECH PANEL, FLY GALLERY, , 300, ER401, TD160, 2, TECHNICAL_DATA
TD161, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, TD161, 2, TECHNICAL_DATA
TD162, TP803, TECH PANEL, FLY GALLERY, , 300, ER401, TD162, 2, TECHNICAL_DATA
TD163, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, TD163, 2, TECHNICAL_DATA
TD164, TP804, TECH PANEL, FLY GALLERY, , 300, ER401, TD164, 2, TECHNICAL_DATA
TD165, TP851, TECH PANEL, CABLE NET, , 300, ER401, TD165, 4, TECHNICAL_DATA
TD166, TP851, TECH PANEL, CABLE NET, , 300, ER401, TD166, 4, TECHNICAL_DATA
TD167, TP851, TECH PANEL, CABLE NET, , 300, ER401, TD167, 4, TECHNICAL_DATA
TD168, TP851, TECH PANEL, CABLE NET, , 300, ER401, TD168, 4, TECHNICAL_DATA
TD169, TP852, TECH PANEL, CABLE NET, , 300, ER401, TD169, 4, TECHNICAL_DATA
TD170, TP852, TECH PANEL, CABLE NET, , 300, ER401, TD170, 4, TECHNICAL_DATA
TD171, TP852, TECH PANEL, CABLE NET, , 300, ER401, TD171, 4, TECHNICAL_DATA
TD172, TP852, TECH PANEL, CABLE NET, , 300, ER401, TD172, 4, TECHNICAL_DATA
TD173, TP853, TECH PANEL, CABLE NET, , 300, ER401, TD173, 4, TECHNICAL_DATA
TD174, TP853, TECH PANEL, CABLE NET, , 300, ER401, TD174, 4, TECHNICAL_DATA
TD175, TP853, TECH PANEL, CABLE NET, , 300, ER401, TD175, 4, TECHNICAL_DATA
TD176, TP853, TECH PANEL, CABLE NET, , 300, ER401, TD176, 4, TECHNICAL_DATA
TD177, TP854, TECH PANEL, CABLE NET, , 300, ER401, TD177, 4, TECHNICAL_DATA
TD178, TP854, TECH PANEL, CABLE NET, , 300, ER401, TD178, 4, TECHNICAL_DATA
TD179, TP854, TECH PANEL, CABLE NET, , 300, ER401, TD179, 4, TECHNICAL_DATA
TD180, TP854, TECH PANEL, CABLE NET, , 300, ER401, TD180, 4, TECHNICAL_DATA
TD193, BR701, LIGHTING, BREAK OUT, 204, CEILING, ER601, TD193, 1, TECHNICAL_DATA
TD194, BR702, LIGHTING, BREAK OUT, 204, CEILING, ER601, TD194, 1, TECHNICAL_DATA
TD195, BR703, LIGHTING, BREAK OUT, 204, CEILING, ER601, TD195, 1, TECHNICAL_DATA
TD196, BR704, LIGHTING, BREAK OUT, 204, CEILING, ER601, TD196, 1, TECHNICAL_DATA
TD197, CN601, AV CONTROL, CONFERENCE 1, 206, 1100, ER601, TD197, 1, TECHNICAL_DATA
TD217, CN611, TECH PANEL, CONFERENCE 1, 206, 300, EN601, TD217, 4, TECHNICAL_DATA
TD218, CN611, TECH PANEL, CONFERENCE 1, 206, 300, EN601, TD218, 4, TECHNICAL_DATA
TD219, CN611, TECH PANEL, CONFERENCE 1, 206, 300, EN601, TD219, 4, TECHNICAL_DATA
TD220, CN611, TECH PANEL, CONFERENCE 1, 206, 300, EN601, TD220, 4, TECHNICAL_DATA
TD221, CN612, TECH PANEL/FLOOR BOX, CONFERENCE 1, 206, 0, EN601, TD221, 4, TECHNICAL_DATA
TD222, CN612, TECH PANEL/FLOOR BOX, CONFERENCE 1, 206, 0, EN601, TD222, 4, TECHNICAL_DATA
TD223, CN612, TECH PANEL/FLOOR BOX, CONFERENCE 1, 206, 0, EN601, TD223, 4, TECHNICAL_DATA
TD224, CN612, TECH PANEL/FLOOR BOX, CONFERENCE 1, 206, 0, EN601, TD224, 4, TECHNICAL_DATA
TD241, CN651, AV CONTROL, CONFERENCE 2, 205, 1100, ER601, TD241, 1, TECHNICAL_DATA
TD265, CN661, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD265, 4, TECHNICAL_DATA
TD266, CN661, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD266, 4, TECHNICAL_DATA
TD267, CN661, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD267, 4, TECHNICAL_DATA
TD268, CN661, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD268, 4, TECHNICAL_DATA
TD269, CN662, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD269, 4, TECHNICAL_DATA
TD270, CN662, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD270, 4, TECHNICAL_DATA
TD271, CN662, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD271, 4, TECHNICAL_DATA
TD272, CN662, TECH PANEL/FLOOR BOX, CONFERENCE 2, 205, 0, EN601, TD272, 4, TECHNICAL_DATA
TD289, CN701, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD289, 1, TECHNICAL_DATA
TD290, CN702, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD290, 1, TECHNICAL_DATA
TD291, CN703, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD291, 1, TECHNICAL_DATA
TD292, CN704, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD292, 1, TECHNICAL_DATA
TD293, CN705, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD293, 1, TECHNICAL_DATA
TD294, CN706, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD294, 1, TECHNICAL_DATA
TD295, CN707, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD295, 1, TECHNICAL_DATA
TD296, CN708, LIGHTING, CONFERENCE 1, 206, PIPE GRID, ER601, TD296, 1, TECHNICAL_DATA
TD297, CN711, SPEAKER POINT, CONFERENCE 1, 206, PIPE GRID, ER601, TD297, 1, TECHNICAL_DATA
TD298, CN712, SPEAKER POINT, CONFERENCE 1, 206, PIPE GRID, ER601, TD298, 1, TECHNICAL_DATA
TD299, CN713, SPEAKER POINT, CONFERENCE 1, 206, PIPE GRID, ER601, TD299, 1, TECHNICAL_DATA
TD300, CN714, SPEAKER POINT, CONFERENCE 1, 206, PIPE GRID, ER601, TD300, 1, TECHNICAL_DATA
TD301, CN721A, PROJECTOR, CONFERENCE 1, 206, PIPE GRID, ER601, TD301, 1, TECHNICAL_DATA
TD302, CN721B, PROJECTOR, CONFERENCE 1, 206, PIPE GRID, ER601, TD302, 1, TECHNICAL_DATA
TD303, CN751, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD303, 1, TECHNICAL_DATA
TD304, CN752, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD304, 1, TECHNICAL_DATA
TD305, CN753, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD305, 1, TECHNICAL_DATA
TD306, CN754, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD306, 1, TECHNICAL_DATA
TD307, CN755, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD307, 1, TECHNICAL_DATA
TD308, CN756, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD308, 1, TECHNICAL_DATA
TD309, CN757, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD309, 1, TECHNICAL_DATA
TD310, CN758, LIGHTING, CONFERENCE 2, 205, PIPE GRID, ER601, TD310, 1, TECHNICAL_DATA
TD311, CN761, SPEAKER POINT, CONFERENCE 2, 205, PIPE GRID, ER601, TD311, 1, TECHNICAL_DATA
TD312, CN762, SPEAKER POINT, CONFERENCE 2, 205, PIPE GRID, ER601, TD312, 1, TECHNICAL_DATA
TD313, CN763, SPEAKER POINT, CONFERENCE 2, 205, PIPE GRID, ER601, TD313, 1, TECHNICAL_DATA
TD314, CN764, SPEAKER POINT, CONFERENCE 2, 205, PIPE GRID, ER601, TD314, 1, TECHNICAL_DATA
TD315, CN771A, PROJECTOR, CONFERENCE 2, 205, PIPE GRID, ER601, TD315, 1, TECHNICAL_DATA
TD316, CN771B, PROJECTOR, CONFERENCE 2, 205, PIPE GRID, ER601, TD316, 1, TECHNICAL_DATA
TD317, FY601, TECH PANEL, FOYER, 207, 300, ER601, TD317, 2, TECHNICAL_DATA
TD318, FY601, TECH PANEL, FOYER, 207, 300, ER601, TD318, 2, TECHNICAL_DATA
TD319, FY602, TECH PANEL, FOYER, 207, 300, ER601, TD319, 2, TECHNICAL_DATA
TD320, FY602, TECH PANEL, FOYER, 207, 300, ER601, TD320, 2, TECHNICAL_DATA
TD321, FY623, SCREEN, FOYER, 207, 2200, ER601, TD321, 1, TECHNICAL_DATA
TD322, FY624, SCREEN, FOYER, 207, 2200, ER601, TD322, 1, TECHNICAL_DATA
TD323, FY731, EVENT PANEL, FOYER, 207, CEILING, ER601, TD323, 4, TECHNICAL_DATA
TD324, FY731, EVENT PANEL, FOYER, 207, CEILING, ER601, TD324, 4, TECHNICAL_DATA
TD325, FY731, EVENT PANEL, FOYER, 207, CEILING, ER601, TD325, 4, TECHNICAL_DATA
TD326, FY731, EVENT PANEL, FOYER, 207, CEILING, ER601, TD326, 4, TECHNICAL_DATA
TD327, FY732, EVENT PANEL, FOYER, 207, CEILING, ER601, TD327, 4, TECHNICAL_DATA
TD328, FY732, EVENT PANEL, FOYER, 207, CEILING, ER601, TD328, 4, TECHNICAL_DATA
TD329, FY732, EVENT PANEL, FOYER, 207, CEILING, ER601, TD329, 4, TECHNICAL_DATA
TD330, FY732, EVENT PANEL, FOYER, 207, CEILING, ER601, TD330, 4, TECHNICAL_DATA
TD331, FY733, EVENT PANEL, FOYER, 207, CEILING, ER601, TD331, 4, TECHNICAL_DATA
TD332, FY733, EVENT PANEL, FOYER, 207, CEILING, ER601, TD332, 4, TECHNICAL_DATA
TD333, FY733, EVENT PANEL, FOYER, 207, CEILING, ER601, TD333, 4, TECHNICAL_DATA
